Ticker,Quantity ,Cost Per Share,Date*,Commission*
AAPL ,25.1146,$95.43,08/08/2020,0.1
ABBV ,31.7138,$95.40,08/08/2020,0.1
AMGN ,15,$238.38,08/08/2020,0.1
AMT ,12.1554,$224.83,08/08/2020,0.1
AVGO ,9.2854,$335.84,,0.1
BABA,2,$185.20,,
BDX ,4.0744,$249.13,,
BMO ,8.2890,$53.12,,0.1
BMY ,49.8607,$62.06,,
BTI ,87.4581,$35.48,,0.1
CCI ,8.2146,$160.82,,0.1
CM ,8.3819,$62.98,,
COST ,2.0692,$291.88,,
CVX ,16.6819,$93.93,,
DHR ,5.0065,$223.16,,
EMN ,10.3750,$49.54,,
ENB ,73.0022,$29.95,,
ESS ,3.1272,$199.72,,
FRT ,25.5374,$74.28,,
GD ,16.3610,$157.85,,
GILD ,35.2918,$63.89,,
HD ,12.1500,$266.78,,
HRL ,8.1551,$41.84,,
IBM ,6.3834,$97.16,,
INTC ,34.7950,$48.14,,
INTU ,4.0310,$257.26,,
IVZ ,158.2324,$9.28,,
JNJ ,15.4334,$131.07,,
JPM ,14.4227,$101.15,,
KMB ,24.2797,$132.35,,
LMT ,15.2970,$347.51,,
MA ,1.0049,$205.62,,
MAC ,206.0397,$8.93,,
MCD ,7.2698,$196.62,,
MMM ,4.1701,$156.08,,
MPW ,124.8775,$18.71,,
MRK ,42.4528,$72.40,,
MSFT ,11.1126,$187.38,,
MSM ,17.2991,$67.13,,
NEE ,32.4315,$71.02,,
NHI ,26.7643,$46.16,,
NNN ,55.4463,$36.43,,
O ,82.7621,$63.61,,
OKE ,89.4892,$27.98,,
OZK ,41.8935,$23.46,,
PBA ,207.5098,$21.97,,
PEP ,22.5504,$136.47,,
PFE ,51.0410,$36.13,,
PKG ,7.2560,$106.69,,
QCOM ,26.3479,$122.17,,
RPTPRD ,40,$35.09,,
RTX ,27.6941,$56.37,,
SJM ,10.3823,$102.51,,
SLG ,22.1529,$56.89,,
SOXX ,3.0035,$423.56,,
STOR ,120.4095,$22.00,,
SWCH ,100.5740,$16.18,,
SWKS ,18.1612,$135.64,,
SWX ,27.3619,$61.54,,
SYK ,4.0434,$186.83,,
T ,104.0041,$30.37,,
TD ,10.4002,$41.79,,
TMO ,2.0050,$313.40,,
UGI ,57.3166,$30.04,,
UNH ,6.0420,$335.31,,
V ,7.0515,$182.19,,
VZ ,15.6669,$57.45,,
WBA ,23.1947,$54.30,,
WMT ,6.1199,$107.69,,
WPC ,15.9095,$67.75,,
XOM ,32.6848,$51.27,08/08/2020,